2020-04-15 08:03:10 - INFO: ___Sample,_lat_deg,_lon_deg,_CPU_Temp,_____Temp,____Press,____Humid,_____Roll,____Pitch,______Yaw,_____MagX,_____MagY,_____MagZ,_____AccX,_____AccY,_____AccZ,____GyroX,____GyroY,____GyroZ
2020-04-15 08:13:58 - INFO: 65,50.5452,77.8482,30.94,26.26,992.54,42.53,21.5604,73.3826,63.5442,33.6855,-10.9666,32.1657,-0.0015,0.0053,0.0122,0.2328,0.2055,0.0754
2020-04-15 08:14:08 - INFO: 66,50.4028,78.7977,29.86,26.13,992.56,42.5,327.9848,161.9889,107.7466,33.9124,-10.7095,32.7048,-0.0007,0.0056,0.0146,0.2359,0.2042,0.0757
2020-04-15 08:14:18 - INFO: 67,50.252,79.7411,30.4,26.18,992.5,42.78,327.5205,335.5896,14.9055,33.9932,-10.9632,33.1967,-0.0007,0.0051,0.0166,0.2322,0.2076,0.076
2020-04-15 08:14:28 - INFO: 68,50.0928,80.6781,30.4,26.22,992.57,42.31,22.6836,73.8162,64.957,33.7928,-11.2598,33.4804,-0.0012,0.0053,0.0146,0.2356,0.2064,0.0779
2020-04-15 08:14:39 - INFO: 69,49.9255,81.6085,30.4,26.26,992.56,42.69,328.1409,162.4321,108.9519,33.7412,-11.4313,33.8513,-0.0017,0.0058,0.0139,0.2338,0.2052,0.0757
2020-04-15 08:14:49 - INFO: 70,49.7322,82.6239,30.4,26.17,992.51,42.39,327.89,336.0436,15.2539,33.9023,-11.5537,34.0388,-0.001,0.0056,0.0149,0.2328,0.2033,0.0757
2020-04-15 08:14:59 - INFO: 71,49.548,83.5396,30.4,26.22,992.53,42.72,22.0541,73.8386,65.5367,33.825,-11.775,35.1188,-0.001,0.0053,0.0166,0.2331,0.2058,0.0782
2020-04-15 08:15:09 - INFO: 72,49.3561,84.4478,29.86,26.24,992.52,43.55,327.4391,161.8161,109.2949,34.0731,-11.6997,34.4574,-0.0012,0.0041,0.0178,0.2347,0.2076,0.076
2020-04-15 08:15:19 - INFO: 73,49.1563,85.3486,30.4,26.18,992.59,42.69,327.5612,336.6017,14.6867,34.1855,-11.7581,34.2022,-0.0015,0.0053,0.0146,0.2356,0.2061,0.076
2020-04-15 08:15:29 - INFO: 74,48.949,86.2416,30.94,26.22,992.53,42.42,22.017,72.985,65.5032,34.1464,-12.0126,34.4895,-0.0012,0.0041,0.0151,0.2338,0.2048,0.0773
2020-04-15 08:15:39 - INFO: 75,48.7342,87.1267,30.4,26.29,992.52,42.62,328.5653,161.502,110.3054,34.3979,-12.1942,34.6567,-0.001,0.0063,0.0151,0.2359,0.207,0.077
2020-04-15 08:15:49 - INFO: 76,48.5119,88.0038,30.4,26.22,992.51,42.72,327.3547,336.239,15.8626,34.0347,-12.3171,35.366,-0.0005,0.0061,0.0154,0.2334,0.2039,0.0764
2020-04-15 08:16:00 - INFO: 77,48.2825,88.8728,30.4,26.17,992.5,42.4,22.3497,73.6975,66.1997,33.5793,-12.4339,35.5365,-0.001,0.007,0.0139,0.2347,0.2036,0.076
2020-04-15 08:16:10 - INFO: 78,48.0218,89.8191,30.4,26.29,992.5,42.87,327.5277,162.0681,110.4179,33.8138,-12.8287,35.9454,-0.0012,0.0056,0.0158,0.2325,0.2024,0.0767
2020-04-15 08:16:20 - INFO: 79,47.7775,90.6705,30.94,26.2,992.57,42.34,328.3139,336.2191,15.6423,33.902,-12.774,35.9018,-0.0012,0.0068,0.0149,0.2362,0.2036,0.0757
2020-04-15 08:16:30 - INFO: 80,47.5263,91.5135,30.4,26.18,992.54,43.92,22.5222,73.607,66.2995,33.8013,-12.5968,36.3262,-0.0015,0.0058,0.0112,0.2341,0.2045,0.0751
2020-04-15 08:16:40 - INFO: 81,47.2684,92.3479,29.86,26.26,992.54,42.81,328.0204,162.849,109.5195,33.8544,-12.7686,37.2678,-0.001,0.007,0.0149,0.2356,0.2058,0.0754
2020-04-15 08:16:50 - INFO: 82,47.0038,93.1737,30.4,26.17,992.5,42.79,328.668,336.374,16.0737,33.9793,-12.9223,37.5986,-0.001,0.0053,0.0139,0.2331,0.2052,0.0767
2020-04-15 08:17:00 - INFO: 83,46.7328,93.9908,30.4,26.15,992.53,43.02,22.5936,74.3909,66.8843,33.5763,-12.9143,38.3178,-0.0015,0.0058,0.0156,0.2338,0.2045,0.0776
2020-04-15 08:17:10 - INFO: 84,46.4554,94.7992,30.4,26.15,992.51,42.3,327.685,163.2726,109.9437,33.3065,-13.3356,38.1071,-0.0015,0.0053,0.0168,0.2328,0.2039,0.0773
2020-04-15 08:17:21 - INFO: 85,46.1717,95.5989,29.86,26.22,992.53,42.32,328.5932,336.3825,15.7861,33.4605,-13.4951,38.8822,-0.0012,0.0046,0.0146,0.2304,0.2042,0.0764
2020-04-15 08:17:31 - INFO: 86,45.8526,96.4685,30.4,26.24,992.52,42.39,23.5222,74.1073,66.3144,33.2476,-13.0284,39.2724,-0.0012,0.0049,0.0156,0.2344,0.2058,0.077
2020-04-15 08:17:41 - INFO: 87,45.5563,97.2499,30.4,26.18,992.53,41.78,328.8653,162.7324,109.9955,32.9778,-13.254,39.3928,-0.0015,0.0056,0.0132,0.2322,0.2048,0.0779
2020-04-15 08:17:51 - INFO: 88,45.2541,98.0225,30.4,26.26,992.54,42.53,328.4083,334.487,17.8722,32.7324,-13.7291,39.8101,-0.001,0.0066,0.0168,0.235,0.2073,0.0751
2020-04-15 08:18:01 - INFO: 89,44.9461,98.7864,30.4,26.2,992.51,42.51,23.2789,73.4485,67.3243,32.6679,-13.4736,39.6144,-0.0022,0.0058,0.0163,0.2319,0.2039,0.0773
2020-04-15 08:18:11 - INFO: 90,44.6326,99.5416,30.4,26.22,992.5,42.49,329.0993,163.0887,111.4523,32.417,-13.5261,39.733,-0.0017,0.0056,0.0171,0.235,0.2055,0.0754
2020-04-15 08:18:21 - INFO: 91,44.3135,100.2882,30.4,26.22,992.53,42.46,328.3649,334.6463,19.4005,32.0539,-13.0255,39.861,-0.0017,0.0058,0.0139,0.2319,0.2082,0.0782
2020-04-15 08:18:32 - INFO: 92,43.9891,101.0262,30.4,26.26,992.52,42.36,23.8199,73.7518,68.8219,31.9915,-13.1155,41.0755,-0.0017,0.0051,0.0185,0.2341,0.2082,0.0754
2020-04-15 08:18:42 - INFO: 93,43.6262,101.828,29.86,26.2,992.52,42.13,329.3325,162.8067,112.4884,31.8668,-13.5123,41.8053,-0.0015,0.0066,0.0154,0.2331,0.2061,0.076
2020-04-15 08:18:52 - INFO: 94,43.2909,102.5481,29.86,26.13,992.51,42.11,328.9648,333.803,21.4202,31.4512,-13.5186,42.3694,-0.0015,0.0058,0.0146,0.2341,0.207,0.076
2020-04-15 08:19:02 - INFO: 95,42.9506,103.2597,30.4,26.2,992.51,42.49,24.5647,73.5432,70.1078,31.3475,-14.0344,42.7907,-0.0012,0.0058,0.0124,0.2347,0.2067,0.077
2020-04-15 08:19:12 - INFO: 96,42.6054,103.963,30.4,26.24,992.54,43.23,330.1437,164.6142,113.3429,31.2763,-14.0578,43.0759,-0.0015,0.0053,0.0161,0.2344,0.2076,0.076
2020-04-15 08:19:22 - INFO: 97,42.2554,104.658,30.4,26.24,992.57,42.33,330.04,333.9232,22.8831,30.9798,-14.4096,43.1397,-0.0007,0.0068,0.0139,0.2356,0.2067,0.0767
2020-04-15 08:19:32 - INFO: 98,41.9007,105.3448,30.4,26.27,992.55,42.43,25.2145,74.3775,72.5718,30.702,-14.5253,43.685,-0.0012,0.0063,0.0129,0.2356,0.2055,0.0782
2020-04-15 08:19:42 - INFO: 99,41.5415,106.0235,30.4,26.17,992.54,42.49,329.2242,164.8536,114.891,29.9793,-14.8562,43.9012,-0.0007,0.0056,0.0149,0.2347,0.2039,0.076
2020-04-15 08:19:53 - INFO: 100,41.1779,106.6942,29.32,26.2,992.5,42.61,329.9322,333.8962,24.9043,29.8891,-14.667,43.8405,-0.0017,0.0053,0.0146,0.2338,0.2024,0.0751
2020-04-15 08:20:03 - INFO: 101,40.7728,107.4227,29.86,26.2,992.51,42.52,24.3458,74.5024,74.3108,29.9763,-14.7274,44.1161,-0.0012,0.0061,0.0168,0.2347,0.2061,0.0764
2020-04-15 08:20:13 - INFO: 102,40.4001,108.0769,30.4,26.17,992.58,42.39,329.0472,163.3032,117.4488,29.6444,-14.8039,45.0041,-0.001,0.0049,0.0144,0.2331,0.2048,0.0754
2020-04-15 08:20:23 - INFO: 103,40.0234,108.7233,30.4,26.17,992.53,42.78,328.6107,335.8929,24.5334,29.6468,-14.9046,45.3185,-0.0007,0.0051,0.0154,0.2344,0.2052,0.076
2020-04-15 08:20:33 - INFO: 104,39.6425,109.3621,30.4,26.22,992.52,42.73,22.434,74.2512,74.9244,29.6251,-14.8735,45.4385,-0.001,0.0053,0.0166,0.2362,0.2067,0.0773
2020-04-15 08:20:43 - INFO: 105,39.2578,109.9934,30.4,26.09,992.52,42.49,327.3431,162.951,118.0161,29.2232,-15.1965,46.1182,-0.001,0.0041,0.0144,0.2334,0.2045,0.0773
2020-04-15 08:20:53 - INFO: 106,38.8692,110.6173,29.86,26.2,992.52,43.0,328.647,335.9389,25.4414,28.8374,-15.3337,45.8463,-0.001,0.0056,0.0168,0.231,0.2064,0.0779
2020-04-15 08:21:03 - INFO: 107,38.4769,111.2339,30.4,26.13,992.54,42.43,22.7491,74.4726,75.8961,28.499,-15.4938,46.0282,-0.0012,0.0056,0.0168,0.2325,0.2039,0.0779
2020-04-15 08:21:14 - INFO: 108,38.0809,111.8434,30.4,26.15,992.56,42.53,327.1118,163.0507,119.1245,27.8884,-15.6423,46.5057,-0.001,0.0061,0.0134,0.2331,0.2033,0.0767
2020-04-15 08:21:24 - INFO: 109,37.6412,112.5056,30.4,26.09,992.54,43.91,329.041,336.4309,26.3242,27.5005,-15.8462,46.952,-0.0012,0.0051,0.0149,0.2322,0.2058,0.0764
2020-04-15 08:21:34 - INFO: 110,37.2379,113.1004,30.4,26.24,992.55,43.33,22.2177,75.6302,77.7476,27.3695,-15.7324,47.1829,-0.0012,0.0056,0.0141,0.2328,0.2033,0.0776
2020-04-15 08:21:44 - INFO: 111,36.8311,113.6883,30.4,26.09,992.51,41.99,327.4275,162.982,120.3557,27.0083,-15.8526,47.7268,-0.0012,0.0051,0.0132,0.2359,0.2058,0.0757
2020-04-15 08:21:54 - INFO: 112,36.4211,114.2696,30.4,26.2,992.52,42.52,328.9318,335.9989,26.98,26.4168,-16.1717,47.7414,-0.0012,0.0061,0.0129,0.2316,0.2042,0.0757
